File,Target,ShotNumber,Distance(m),LaserPower,SpectrumTotal,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,Total,SiO2_RMSEP,TiO2_RMSEP,Al2O3_RMSEP,FeOT_RMSEP,MgO_RMSEP,CaO_RMSEP,Na2O_RMSEP,K2O_RMSEP,labels
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,18,2.70011,100A/95A/95A,1.03E+15,46.120461,0.96816104,11.887918,17.616707,3.9643411,8.522204,3.797947,0.65344173,93.531181,4.9732533,0.48766828,3.5554535,3.8216012,1.7414654,2.6301422,0.67480862,0.71880603,3
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,19,2.70011,100A/95A/95A,1.01E+15,46.142722,0.98156365,11.491311,17.695943,4.0425555,8.3367815,3.7842212,0.65707709,93.132174,4.9727592,0.48983467,3.5491617,3.8356152,1.7495507,2.5909834,0.67303967,0.72291982,2
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,20,2.70011,100A/95A/95A,1.03E+15,45.460813,1.0023889,11.42071,17.878366,3.9840663,8.3907575,3.6508459,0.63507158,92.423019,4.9962215,0.49415541,3.5480616,3.8672047,1.7434868,2.6020148,0.66237658,0.71477574,2
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,21,2.70011,100A/95A/95A,1.05E+15,45.942459,0.97330807,11.563694,17.753704,3.8770307,8.5232132,3.8342249,0.67132139,93.138955,4.9781318,0.48766828,3.5502617,3.8443737,1.7333801,2.6301422,0.67768145,0.72707993,0
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,22,2.70011,100A/95A/95A,9.40E+14,46.409114,0.95386478,11.296411,17.521715,4.1326257,8.8533178,3.7180843,0.65085622,93.53599,4.9660907,0.48331749,3.5460966,3.8040836,1.7590677,2.6981127,0.66789734,0.71880603,1
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,23,2.70011,100A/95A/95A,1.06E+15,45.688645,0.9677725,11.735358,17.478729,4.0369575,8.6613582,3.8763843,0.68868197,93.133886,4.9875536,0.48766828,3.553091,3.7970765,1.7495507,2.6592975,0.68267787,0.73540014,3
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,24,2.70011,100A/95A/95A,8.89E+14,45.580755,0.96437032,10.193882,18.328558,4.3032427,8.8639993,3.283892,0.59066142,92.109362,4.9916992,0.48550186,3.5236642,3.9460692,1.7770572,2.7000716,0.63788486,0.69462419,2
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,25,2.70011,100A/95A/95A,9.99E+14,45.545462,1.0081074,11.104539,17.996759,4.0875234,8.6024477,3.4827681,0.61058022,92.438187,4.9928298,0.49630839,3.5428052,3.8882852,1.7548348,2.6468024,0.65047842,0.70268482,3
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,26,2.70011,100A/95A/95A,1.06E+15,45.834786,0.97276556,11.317302,17.679721,4.0791388,8.4095166,3.8755018,0.68461343,92.853345,4.9822774,0.48766828,3.5464244,3.8321116,1.7537766,2.6064274,0.68267787,0.73124003,1
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,27,2.70011,100A/95A/95A,1.03E+15,46.444045,0.97752558,11.695757,17.589064,4.048147,8.4425841,3.8142496,0.66769486,93.679067,4.9653502,0.48983467,3.5524619,3.8163457,1.750602,2.6130464,0.67575353,0.72707993,0
